ダウンロードした時刻：2025/07/15 21:02:44

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
1994/6,22.4,8,1,14.3,8,1,31.7,8,1,26.0,8,1,19.1,8,1,24.2,8,1,17.1,8,1,33.3,8,1,28.5,8,1,20.5,8,1,26.9,8,1,20.3,8,1,32.0,8,1,29.5,8,1,25.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1994/7,28.3,8,1,22.6,5,1,35.6,8,1,31.8,8,1,25.3,5,1,29.9,8,1,24.4,8,1,38.0,8,1,34.5,8,1,26.5,8,1,29.4,8,1,25.0,8,1,33.7,8,1,32.4,8,1,27.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1994/8,28.9,8,1,20.4,8,1,39.1,8,1,32.9,8,1,25.9,8,1,30.2,8,1,23.1,8,1,39.1,8,1,35.0,8,1,27.0,8,1,28.7,8,1,23.2,8,1,32.8,8,1,31.3,8,1,26.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1994/9,24.8,8,1,18.3,8,1,32.9,8,1,28.1,8,1,22.0,8,1,26.0,8,1,17.2,8,1,35.0,8,1,30.1,8,1,22.5,8,1,26.8,8,1,22.8,8,1,32.0,8,1,29.4,8,1,24.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1994/10,20.2,8,1,11.9,8,1,27.9,8,1,23.0,8,1,17.5,8,1,20.8,8,1,12.4,8,1,31.9,8,1,24.9,8,1,17.4,8,1,24.4,8,1,20.2,8,1,30.1,8,1,27.1,8,1,22.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1994/11,13.4,8,1,4.5,8,1,23.9,8,1,17.1,8,1,9.8,8,1,14.6,8,1,5.6,8,1,24.6,8,1,18.6,8,1,11.1,8,1,22.5,8,1,17.6,8,1,27.7,8,1,25.2,8,1,20.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1994/12,9.0,8,1,1.4,8,1,17.7,8,1,12.8,8,1,5.2,8,1,9.3,8,1,0.4,8,1,18.5,8,1,12.7,8,1,6.0,8,1,20.2,8,1,14.2,8,1,26.2,8,1,22.8,8,1,18.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/1,6.3,8,1,-1.2,8,1,16.1,8,1,10.2,8,1,2.5,8,1,6.1,8,1,-0.3,8,1,16.9,8,1,9.2,8,1,3.0,8,1,16.4,8,1,10.3,8,1,24.8,8,1,18.9,8,1,14.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/2,6.5,8,1,0.1,8,1,13.9,8,1,10.1,8,1,2.9,8,1,6.2,8,1,-0.2,8,1,12.9,8,1,9.9,8,1,2.8,8,1,15.7,8,1,9.4,8,1,22.5,8,1,17.9,8,1,13.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/3,8.9,8,1,1.0,8,1,19.9,8,1,13.0,8,1,5.3,8,1,9.8,8,1,1.5,8,1,20.3,8,1,14.0,8,1,6.1,8,1,17.6,8,1,9.1,8,1,25.3,8,1,20.3,8,1,15.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/4,15.0,8,1,4.9,8,1,25.5,8,1,19.1,8,1,11.5,8,1,14.6,8,1,3.3,8,1,23.9,8,1,18.7,8,1,10.7,8,1,22.1,8,1,13.1,8,1,29.0,8,1,24.7,8,1,19.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/5,19.1,8,1,12.9,8,1,26.7,8,1,22.7,8,1,16.1,8,1,18.9,8,1,10.9,8,1,27.3,8,1,22.9,8,1,15.1,8,1,23.3,8,1,17.4,8,1,30.5,8,1,25.9,8,1,21.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/6,20.4,8,1,14.9,8,1,28.8,8,1,23.5,8,1,17.8,8,1,22.1,8,1,16.4,8,1,31.9,8,1,25.9,8,1,18.9,8,1,26.3,8,1,22.1,8,1,31.1,8,1,28.6,8,1,24.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/7,26.4,8,1,19.4,8,1,35.9,8,1,29.6,8,1,23.7,8,1,27.5,8,1,19.1,8,1,37.6,8,1,31.2,8,1,24.5,8,1,28.5,8,1,25.0,8,1,33.3,8,1,31.2,8,1,26.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/8,29.4,8,1,24.5,8,1,36.4,8,1,33.7,8,1,26.1,8,1,30.3,8,1,23.0,8,1,36.3,8,1,34.6,8,1,27.2,8,1,29.0,8,1,24.6,8,1,33.3,8,1,32.2,8,1,26.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/9,23.7,8,1,15.1,8,1,35.8,8,1,27.4,8,1,20.7,8,1,24.2,8,1,16.6,8,1,31.9,8,1,28.2,8,1,20.6,8,1,27.8,8,1,22.1,8,1,32.9,8,1,30.3,8,1,25.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/10,19.5,8,1,12.3,8,1,27.8,8,1,23.0,8,1,16.5,8,1,19.9,8,1,10.4,8,1,28.6,8,1,24.3,8,1,16.1,8,1,26.1,8,1,21.4,8,1,31.4,8,1,28.9,8,1,24.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/11,12.7,8,1,5.2,8,1,23.9,8,1,16.7,8,1,8.7,8,1,12.1,8,1,4.2,8,1,20.2,8,1,16.0,8,1,8.4,8,1,21.0,8,1,12.9,8,1,28.1,8,1,23.5,8,1,18.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1995/12,7.7,8,1,-0.6,8,1,16.7,8,1,12.1,8,1,3.9,8,1,7.2,8,1,0.0,8,1,14.5,8,1,10.6,8,1,3.9,8,1,17.8,8,1,12.9,8,1,24.3,8,1,20.1,8,1,15.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/1,6.6,8,1,-0.4,8,1,19.9,8,1,10.4,8,1,2.9,8,1,6.3,8,1,-0.6,8,1,15.3,8,1,9.7,8,1,3.0,8,1,17.1,8,1,11.3,8,1,24.6,8,1,19.9,8,1,14.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/2,5.4,8,1,-1.5,8,1,20.9,8,1,9.4,8,1,1.7,8,1,5.2,8,1,-0.9,8,1,20.4,8,1,8.9,8,1,1.8,8,1,16.3,8,1,8.5,8,1,24.6,8,1,19.1,8,1,13.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/3,9.2,8,1,0.7,8,1,23.1,8,1,13.1,8,1,5.5,8,1,8.9,8,1,0.9,8,1,20.8,8,1,13.0,8,1,5.3,8,1,19.0,8,1,11.6,8,1,26.6,8,1,21.7,8,1,16.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/4,12.7,8,1,3.7,8,1,26.2,8,1,17.0,8,1,8.5,8,1,12.7,8,1,2.6,8,1,26.5,8,1,16.9,8,1,8.4,8,1,19.5,8,1,13.6,8,1,26.5,8,1,22.2,8,1,16.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/5,18.1,8,1,10.5,8,1,30.5,8,1,22.0,8,1,14.6,8,1,19.6,8,1,9.8,8,1,30.2,8,1,24.1,8,1,15.5,8,1,22.4,8,1,18.5,8,1,26.9,8,1,24.9,8,1,20.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/6,22.6,8,1,15.7,8,1,31.8,8,1,26.4,8,1,19.5,8,1,23.4,8,1,15.5,8,1,31.7,8,1,27.3,8,1,20.6,8,1,27.5,8,1,20.9,8,1,32.3,8,1,30.1,8,1,25.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/7,26.2,8,1,17.2,8,1,34.8,8,1,30.0,8,1,23.1,8,1,27.5,8,1,19.5,8,1,35.9,8,1,31.7,8,1,24.5,8,1,29.4,8,1,25.2,8,1,33.9,8,1,32.2,8,1,27.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/8,26.0,8,1,17.9,8,1,38.7,8,1,30.0,8,1,23.0,8,1,28.3,8,1,20.7,8,1,36.4,8,1,33.1,8,1,24.9,8,1,28.1,8,1,24.8,8,1,33.3,8,1,30.9,8,1,26.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/9,22.4,8,1,14.8,8,1,34.5,8,1,26.3,8,1,19.4,8,1,23.3,8,1,14.7,8,1,32.6,8,1,27.7,8,1,19.9,8,1,27.9,8,1,23.8,8,1,33.2,8,1,30.6,8,1,26.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/10,18.0,8,1,9.3,8,1,27.2,8,1,21.7,8,1,14.5,8,1,18.5,8,1,9.2,8,1,27.6,8,1,22.9,8,1,14.8,8,1,24.6,8,1,19.8,8,1,29.7,8,1,27.2,8,1,22.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/11,13.2,8,1,5.8,8,1,24.2,8,1,16.7,8,1,10.1,8,1,13.7,8,1,4.9,8,1,24.1,8,1,17.4,8,1,10.1,8,1,23.2,8,1,16.4,8,1,29.2,8,1,25.5,8,1,21.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1996/12,9.3,8,1,2.4,8,1,18.6,8,1,13.6,8,1,5.3,8,1,8.7,8,1,1.3,8,1,17.5,8,1,12.9,8,1,4.5,8,1,18.1,8,1,12.0,8,1,24.0,8,1,21.0,8,1,15.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/1,6.8,8,1,-2.1,8,1,16.4,8,1,11.3,8,1,2.7,8,1,6.0,8,1,-3.8,8,1,18.3,8,1,9.6,8,1,2.7,8,1,16.5,8,1,11.4,8,1,24.0,8,1,19.0,8,1,14.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/2,7.0,8,1,-1.4,8,1,18.0,8,1,11.2,8,1,3.1,8,1,5.8,8,1,-1.0,8,1,18.1,8,1,9.8,8,1,2.1,8,1,17.1,8,1,9.3,8,1,24.6,8,1,19.7,8,1,14.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/3,10.5,8,1,3.0,8,1,25.1,8,1,14.7,8,1,6.8,8,1,10.1,8,1,1.5,8,1,20.1,8,1,14.2,8,1,5.9,8,1,19.9,8,1,12.9,8,1,25.5,8,1,22.6,8,1,17.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/4,15.2,8,1,8.0,8,1,27.2,8,1,19.2,8,1,11.4,8,1,15.1,8,1,5.8,8,1,24.6,8,1,19.3,8,1,10.8,8,1,22.0,8,1,15.7,8,1,28.9,8,1,24.7,8,1,19.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/5,19.2,8,1,11.3,8,1,27.9,8,1,23.2,8,1,15.6,8,1,19.9,8,1,9.9,8,1,30.2,8,1,24.6,8,1,15.7,8,1,24.6,8,1,18.1,8,1,29.7,8,1,27.2,8,1,22.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/6,22.7,8,1,13.4,8,1,32.8,8,1,26.6,8,1,19.3,8,1,23.7,8,1,14.9,8,1,32.3,8,1,27.9,8,1,20.1,8,1,26.1,8,1,20.1,8,1,30.9,8,1,28.6,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/7,26.6,8,1,19.4,8,1,37.7,8,1,30.7,8,1,23.4,8,1,26.7,8,1,19.6,8,1,34.7,8,1,30.2,8,1,23.7,8,1,28.4,8,1,24.4,8,1,32.6,8,1,31.2,8,1,26.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/8,27.0,8,1,19.4,8,1,34.5,8,1,30.7,8,1,23.9,8,1,28.5,8,1,21.6,8,1,35.1,8,1,32.8,8,1,25.0,8,1,27.8,8,1,24.2,8,1,32.8,8,1,30.4,8,1,26.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/9,22.9,8,1,15.4,8,1,32.9,8,1,26.4,8,1,20.1,8,1,24.3,8,1,14.5,8,1,34.2,8,1,28.2,8,1,21.2,8,1,26.8,8,1,19.5,8,1,32.1,8,1,29.3,8,1,24.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/10,18.7,8,1,9.6,8,1,27.1,8,1,22.8,8,1,14.8,8,1,18.2,8,1,7.5,8,1,27.1,8,1,22.8,8,1,13.9,8,1,24.3,8,1,18.5,8,1,29.0,8,1,26.7,8,1,22.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/11,14.3,8,1,6.9,8,1,24.4,8,1,18.1,8,1,11.0,8,1,14.1,8,1,6.2,8,1,22.5,8,1,18.4,8,1,10.2,8,1,22.6,8,1,17.5,8,1,28.3,8,1,25.2,8,1,20.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1997/12,9.2,8,1,2.5,8,1,17.6,8,1,12.4,8,1,5.8,8,1,8.9,8,1,0.4,8,1,21.3,8,1,12.5,8,1,5.5,8,1,19.7,8,1,14.0,8,1,26.1,8,1,22.2,8,1,17.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/1,5.3,8,1,-0.8,8,1,13.6,8,1,9.3,8,1,1.9,8,1,5.9,8,1,-1.0,8,1,12.7,8,1,8.9,8,1,2.9,8,1,18.7,8,1,10.9,8,1,25.9,8,1,21.2,8,1,16.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/2,7.0,8,1,0.5,8,1,23.1,8,1,11.3,8,1,3.6,8,1,7.8,8,1,-0.1,8,1,19.8,8,1,11.8,8,1,4.2,8,1,18.5,8,1,12.0,8,1,25.5,8,1,20.9,8,1,16.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/3,10.1,8,1,0.7,8,1,24.5,8,1,14.4,8,1,5.9,8,1,10.6,8,1,3.3,8,1,23.6,8,1,14.9,8,1,6.8,8,1,20.2,8,1,13.1,8,1,28.1,8,1,23.0,8,1,17.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/4,16.3,8,1,2.5,8,1,27.1,8,1,20.1,8,1,12.9,8,1,17.7,8,1,4.8,8,1,28.6,8,1,22.3,8,1,13.7,8,1,23.5,8,1,15.9,8,1,29.1,8,1,26.3,8,1,21.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/5,20.5,8,1,10.6,8,1,29.3,8,1,24.6,8,1,16.7,8,1,21.6,8,1,13.9,8,1,32.7,8,1,26.4,8,1,17.6,8,1,26.1,8,1,21.5,8,1,30.6,8,1,28.9,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/6,21.5,8,1,13.8,8,1,33.7,8,1,24.6,8,1,18.5,8,1,23.3,8,1,16.3,8,1,32.7,8,1,27.4,8,1,20.0,8,1,27.4,8,1,21.2,8,1,32.7,8,1,29.8,8,1,25.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/7,25.3,8,1,17.0,8,1,36.1,8,1,29.0,8,1,22.6,8,1,27.8,8,1,19.9,8,1,34.9,8,1,31.8,8,1,24.7,8,1,29.5,8,1,24.1,8,1,33.4,8,1,32.0,8,1,27.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/8,27.2,8,1,20.3,8,1,35.5,8,1,31.0,8,1,24.4,8,1,29.4,8,1,21.9,8,1,35.7,8,1,33.4,8,1,26.5,8,1,30.1,8,1,25.8,8,1,34.7,8,1,32.8,8,1,27.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/9,24.4,8,1,17.7,8,1,32.8,8,1,27.7,8,1,21.9,8,1,25.6,8,1,18.7,8,1,33.8,8,1,29.7,8,1,22.4,8,1,28.4,8,1,24.9,8,1,32.7,8,1,31.0,8,1,26.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/10,20.1,8,1,11.9,8,1,31.9,8,1,23.5,8,1,17.1,8,1,20.8,8,1,13.8,8,1,31.9,8,1,24.6,8,1,17.8,8,1,26.7,8,1,22.7,8,1,31.5,8,1,29.2,8,1,24.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/11,13.9,8,1,5.3,8,1,25.0,8,1,17.7,8,1,10.3,8,1,13.7,8,1,4.0,8,1,22.7,8,1,17.6,8,1,9.8,8,1,23.0,8,1,17.4,8,1,29.6,8,1,25.4,8,1,20.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1998/12,9.0,8,1,2.4,8,1,18.4,8,1,12.6,8,1,5.5,8,1,9.8,8,1,2.6,8,1,16.4,8,1,13.5,8,1,6.5,8,1,20.2,8,1,14.7,8,1,26.4,8,1,22.6,8,1,18.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/1,6.6,8,1,-0.9,8,1,16.4,8,1,10.8,8,1,2.5,8,1,6.4,8,1,0.2,8,1,13.3,8,1,9.9,8,1,3.1,8,1,18.0,8,1,13.3,8,1,23.6,8,1,20.3,8,1,15.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/2,6.7,8,1,-1.4,8,1,21.3,8,1,11.2,8,1,2.5,8,1,5.9,8,1,-2.9,8,1,15.8,8,1,9.9,8,1,2.1,8,1,17.4,8,1,10.1,8,1,25.7,8,1,20.3,8,1,14.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/3,10.1,8,1,2.1,8,1,20.3,8,1,13.7,8,1,6.3,8,1,10.6,8,1,2.1,8,1,24.2,8,1,14.6,8,1,6.9,8,1,20.9,8,1,14.5,8,1,28.2,8,1,23.7,8,1,18.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/4,15.0,8,1,5.4,8,1,24.0,8,1,18.7,8,1,11.5,8,1,14.7,8,1,4.9,8,1,24.7,8,1,19.5,8,1,10.8,8,1,21.7,8,1,15.7,8,1,27.0,8,1,24.3,8,1,19.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/5,19.9,8,1,10.9,8,1,31.9,8,1,24.0,8,1,16.4,8,1,20.5,8,1,10.8,8,1,29.0,8,1,25.5,8,1,16.3,8,1,23.7,8,1,18.2,8,1,29.4,8,1,26.3,8,1,21.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/6,22.8,8,1,15.4,8,1,32.9,8,1,26.5,8,1,19.8,8,1,23.5,8,1,16.3,8,1,32.2,8,1,27.7,8,1,20.2,8,1,27.5,8,1,23.5,8,1,32.1,8,1,29.8,8,1,25.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/7,25.9,8,1,17.2,8,1,34.2,8,1,29.9,8,1,23.0,8,1,26.8,8,1,19.0,8,1,35.4,8,1,31.3,8,1,23.6,8,1,28.3,8,1,24.3,8,1,33.1,8,1,30.8,8,1,26.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/8,28.5,8,1,23.1,8,1,34.8,8,1,32.3,8,1,25.8,8,1,29.1,8,1,22.2,8,1,37.0,8,1,33.8,8,1,25.7,8,1,28.4,8,1,23.9,8,1,32.1,8,1,30.8,8,1,26.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/9,26.2,8,1,18.0,8,1,34.2,8,1,29.6,8,1,23.3,8,1,27.2,8,1,18.6,8,1,34.1,8,1,31.5,8,1,24.0,8,1,28.2,8,1,23.2,8,1,33.3,8,1,31.0,8,1,26.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/10,19.5,8,1,10.3,8,1,29.2,8,1,23.0,8,1,16.1,8,1,20.1,8,1,11.6,8,1,31.3,8,1,25.0,8,1,16.4,8,1,26.3,8,1,19.7,8,1,32.0,8,1,29.0,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/11,14.2,8,1,7.0,8,1,23.8,8,1,17.8,8,1,10.7,8,1,14.1,8,1,4.8,8,1,23.8,8,1,18.3,8,1,10.4,8,1,22.6,8,1,16.5,8,1,28.0,8,1,25.3,8,1,20.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
1999/12,9.0,8,1,1.7,8,1,18.0,8,1,12.7,8,1,5.1,8,1,8.7,8,1,0.8,8,1,16.7,8,1,12.5,8,1,5.3,8,1,18.4,8,1,10.4,8,1,26.6,8,1,20.8,8,1,16.4,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/1,7.6,8,1,-0.7,8,1,16.9,8,1,11.2,8,1,4.2,8,1,7.0,8,1,-0.4,8,1,17.6,8,1,10.6,8,1,3.9,8,1,17.9,8,1,10.3,8,1,24.7,8,1,20.4,8,1,15.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/2,6.0,8,1,0.0,8,1,14.5,8,1,9.9,8,1,2.4,8,1,4.9,8,1,-0.3,8,1,11.8,8,1,8.7,8,1,1.9,8,1,16.2,8,1,11.2,8,1,23.9,8,1,18.4,8,1,14.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/3,9.4,8,1,1.5,8,1,19.9,8,1,13.5,8,1,5.2,8,1,8.9,8,1,0.3,8,1,18.5,8,1,13.4,8,1,5.1,8,1,18.6,8,1,13.0,8,1,25.2,8,1,21.2,8,1,16.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/4,14.5,8,1,6.4,8,1,24.1,8,1,18.7,8,1,10.7,8,1,14.6,8,1,5.9,8,1,23.7,8,1,19.2,8,1,10.5,8,1,20.7,8,1,14.6,8,1,26.3,8,1,23.4,8,1,18.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/5,19.8,8,1,12.9,8,1,30.0,8,1,24.0,8,1,16.5,8,1,20.7,8,1,11.5,8,1,31.8,8,1,25.9,8,1,16.8,8,1,23.1,8,1,17.2,8,1,29.3,8,1,25.9,8,1,20.9,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/6,22.5,8,1,16.4,8,1,30.5,8,1,26.1,8,1,19.5,8,1,23.3,8,1,16.2,8,1,33.0,8,1,27.6,8,1,20.2,8,1,27.2,8,1,20.1,8,1,33.5,8,1,30.0,8,1,25.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/7,27.7,8,1,19.9,8,1,34.9,8,1,31.6,8,1,24.5,8,1,28.7,8,1,21.6,8,1,36.7,8,1,33.0,8,1,25.4,8,1,28.0,8,1,23.4,8,1,32.5,8,1,30.8,8,1,25.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/8,28.3,8,1,22.2,8,1,34.5,8,1,32.4,8,1,25.4,8,1,29.6,8,1,25.1,8,1,37.7,8,1,35.1,8,1,26.4,8,1,27.9,8,1,22.1,8,1,32.3,8,1,30.4,8,1,25.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/9,25.6,8,1,17.8,8,1,37.8,8,1,28.9,8,1,22.7,8,1,25.8,8,1,18.1,8,1,34.9,8,1,30.5,8,1,22.5,8,1,26.3,8,1,20.4,8,1,32.3,8,1,28.9,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/10,18.8,8,1,11.1,8,1,28.1,8,1,21.9,8,1,16.2,8,1,19.7,8,1,10.1,8,1,28.8,8,1,23.7,8,1,16.6,8,1,26.2,8,1,21.9,8,1,30.8,8,1,29.0,8,1,24.1,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/11,13.3,8,1,5.3,8,1,23.1,8,1,16.7,8,1,10.5,8,1,14.6,8,1,4.5,8,1,24.7,8,1,18.6,8,1,11.4,8,1,23.4,8,1,17.3,8,1,29.8,8,1,25.8,8,1,21.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2000/12,8.8,8,1,1.7,8,1,20.2,8,1,12.6,8,1,5.2,8,1,8.8,8,1,0.8,8,1,17.1,8,1,12.5,8,1,5.6,8,1,19.9,8,1,13.9,8,1,26.1,8,1,22.5,8,1,17.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/1,4.9,8,1,-2.4,8,1,13.8,8,1,8.6,8,1,1.7,8,1,5.2,8,1,-1.3,8,1,13.2,8,1,8.4,8,1,2.6,8,1,17.7,8,1,10.8,8,1,24.4,8,1,20.3,8,1,15.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/2,6.6,8,1,0.0,8,1,19.7,8,1,10.7,8,1,2.8,8,1,6.6,8,1,-0.3,8,1,19.5,8,1,10.4,8,1,3.3,8,1,18.7,8,1,12.5,8,1,25.7,8,1,21.3,8,1,16.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/3,9.8,8,1,1.1,8,1,22.8,8,1,14.4,8,1,5.7,8,1,9.7,8,1,0.1,8,1,22.0,8,1,14.0,8,1,5.7,8,1,18.3,8,1,10.1,8,1,26.2,8,1,21.3,8,1,15.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/4,15.7,8,1,1.0,8,1,26.2,8,1,20.4,8,1,11.3,8,1,15.5,8,1,2.6,8,1,27.6,8,1,20.6,8,1,10.8,8,1,21.2,8,1,13.4,8,1,29.2,8,1,24.0,8,1,18.8,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/5,19.5,8,1,8.7,8,1,27.5,8,1,23.0,8,1,16.4,8,1,20.6,8,1,12.6,8,1,29.0,8,1,25.2,8,1,16.9,8,1,23.5,8,1,18.7,8,1,28.9,8,1,26.0,8,1,21.7,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/6,23.1,8,1,16.1,8,1,33.7,8,1,26.6,8,1,20.3,8,1,24.0,8,1,16.4,8,1,33.7,8,1,28.1,8,1,20.9,8,1,27.8,8,1,20.4,8,1,34.1,8,1,30.5,8,1,25.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/7,28.5,8,1,21.9,8,1,38.1,8,1,33.0,8,1,25.2,8,1,29.2,8,1,22.4,8,1,37.2,8,1,34.0,8,1,26.0,8,1,29.9,8,1,26.3,8,1,34.4,8,1,33.0,8,1,27.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/8,26.4,8,1,19.6,8,1,36.3,8,1,30.0,8,1,23.6,8,1,28.8,8,1,20.6,8,1,38.4,8,1,33.9,8,1,25.5,8,1,29.6,8,1,24.6,8,1,35.6,8,1,32.7,8,1,27.0,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/9,23.2,8,1,13.2,8,1,32.6,8,1,26.4,8,1,20.4,8,1,24.4,8,1,15.0,8,1,33.5,8,1,28.5,8,1,21.1,8,1,27.5,8,1,22.8,8,1,33.3,8,1,30.2,8,1,25.3,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/10,18.7,8,1,11.3,8,1,28.5,8,1,22.5,8,1,15.5,8,1,19.5,8,1,11.6,8,1,27.0,8,1,23.9,8,1,16.1,8,1,25.6,8,1,21.6,8,1,29.6,8,1,28.0,8,1,23.5,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/11,13.1,8,1,6.0,8,1,21.8,8,1,16.7,8,1,9.5,8,1,13.2,8,1,6.3,8,1,23.1,8,1,17.6,8,1,9.4,8,1,21.8,8,1,15.0,8,1,28.7,8,1,24.5,8,1,19.6,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
2001/12,8.4,8,1,0.9,8,1,16.7,8,1,12.0,8,1,4.9,8,1,8.3,8,1,1.6,8,1,16.0,8,1,11.8,8,1,5.2,8,1,19.2,8,1,11.3,8,1,26.3,8,1,21.5,8,1,17.2,8,1,,0,1,,0,1,,0,1,,0,1,,0,1
